"V1","V2","V3"
26,98,1
26,1003,1
26,1009,1
26,1010,1
98,26,1
98,1003,1
234,1001,1
234,1003,1
240,1006,1
241,1011,1
1000,1008,1
1001,234,1
1001,1003,1
1001,1020,1
1001,1033,1
1002,1009,1
1002,1025,1
1002,1027,1
1003,26,1
1003,98,1
1003,234,1
1003,1001,1
1004,1005,1
1004,1007,1
1004,1013,1
1005,1004,1
1005,1007,1
1005,1013,1
1006,240,1
1007,1004,1
1007,1005,1
1007,1013,1
1007,1024,1
1008,1000,1
1009,26,1
1009,1002,1
1009,1010,1
1009,1025,1
1009,1027,1
1010,26,1
1010,1009,1
1011,241,1
1013,1004,1
1013,1005,1
1013,1007,1
1013,1018,1
1013,1023,1
1013,1024,1
1013,1028,1
1014,1015,1
1014,1016,1
1014,1017,1
1014,1022,1
1015,1014,1
1015,1016,1
1015,1017,1
1015,1022,1
1016,1014,1
1016,1015,1
1016,1017,1
1016,1022,1
1017,1014,1
1017,1015,1
1017,1016,1
1017,1022,1
1018,1013,1
1018,1023,1
1018,1024,1
1018,1028,1
1019,1026,1
1019,1029,1
1020,1001,1
1022,1014,1
1022,1015,1
1022,1016,1
1022,1017,1
1023,1013,1
1023,1018,1
1023,1024,1
1023,1028,1
1024,1007,1
1024,1013,1
1024,1018,1
1024,1023,1
1024,1028,1
1025,1002,1
1025,1009,1
1025,1027,1
1026,1019,1
1026,1029,1
1027,1002,1
1027,1009,1
1027,1025,1
1028,1013,1
1028,1018,1
1028,1023,1
1028,1024,1
1029,1019,1
1029,1026,1
1031,1032,1
1032,1031,1
1033,1001,1
26,1004,1
26,1005,2
26,1011,1
26,1020,1
26,1023,2
98,1002,1
98,1010,1
98,1019,1
98,1020,1
98,1024,2
98,1026,1
98,1028,1
98,1029,1
98,1032,1
240,1007,1
240,1021,1
240,1024,1
240,1028,1
240,1030,1
240,1033,1
240,1036,1
240,1038,1
240,1041,1
240,1042,1
240,1044,1
240,1045,1
242,1008,1
242,1014,1
242,1025,1
242,1026,1
242,1031,1
1000,1033,1
1000,1036,1
1001,1029,1
1001,1032,1
1001,1039,1
1001,1040,1
1001,1043,1
1001,1044,1
1002,98,1
1002,1010,1
1002,1020,1
1002,1024,1
1002,1027,1
1004,26,1
1004,1005,1
1004,1020,1
1004,1023,1
1005,26,2
1005,1004,1
1005,1007,1
1005,1011,1
1005,1020,1
1005,1021,1
1005,1023,2
1005,1042,1
1005,1050,1
1006,1015,1
1006,1022,1
1006,1025,1
1006,1027,1
1006,1046,1
1007,240,1
1007,1005,1
1007,1021,2
1007,1024,1
1007,1028,1
1007,1030,1
1007,1031,1
1007,1033,2
1007,1036,1
1007,1038,2
1007,1039,1
1007,1040,1
1007,1041,1
1007,1042,2
1007,1044,1
1007,1045,1
1007,1048,1
1007,1050,1
1008,242,1
1008,1018,1
1008,1025,1
1008,1026,2
1008,1031,2
1008,1038,1
1010,98,1
1010,1002,1
1010,1024,1
1011,26,1
1011,1005,1
1011,1015,1
1011,1023,1
1012,1033,1
1012,1034,1
1012,1035,1
1014,242,1
1014,1022,1
1014,1037,1
1015,1006,1
1015,1011,1
1015,1022,2
1015,1025,1
1015,1027,1
1015,1046,1
1018,1008,1
1018,1026,1
1018,1031,1
1019,98,1
1019,1024,1
1019,1026,1
1019,1028,1
1019,1029,1
1020,26,1
1020,98,1
1020,1002,1
1020,1004,1
1020,1005,1
1020,1023,2
1020,1027,1
1020,1032,1
1020,1040,1
1020,1045,1
1020,1049,1
1021,240,1
1021,1005,1
1021,1007,2
1021,1024,1
1021,1028,1
1021,1030,1
1021,1031,1
1021,1033,1
1021,1036,1
1021,1038,1
1021,1041,1
1021,1042,2
1021,1044,1
1021,1045,1
1021,1050,1
1022,1006,1
1022,1014,1
1022,1015,2
1022,1025,2
1022,1027,1
1022,1037,1
1022,1046,1
1023,26,2
1023,1004,1
1023,1005,2
1023,1011,1
1023,1020,2
1023,1027,1
1023,1030,1
1023,1033,1
1023,1036,1
1023,1040,1
1023,1045,1
1023,1049,1
1024,98,2
1024,240,1
1024,1002,1
1024,1007,1
1024,1010,1
1024,1019,1
1024,1021,1
1024,1026,1
1024,1028,2
1024,1029,1
1024,1030,1
1024,1033,1
1024,1036,2
1024,1038,1
1024,1041,1
1024,1042,1
1024,1044,1
1024,1045,1
1025,242,1
1025,1006,1
1025,1008,1
1025,1015,1
1025,1022,2
1025,1026,1
1025,1027,1
1025,1031,1
1025,1046,1
1026,98,1
1026,242,1
1026,1008,2
1026,1018,1
1026,1019,1
1026,1024,1
1026,1025,1
1026,1028,1
1026,1029,1
1026,1031,2
1027,1002,1
1027,1006,1
1027,1015,1
1027,1020,1
1027,1022,1
1027,1023,1
1027,1025,1
